Cost Center Code	Legacy Code	School	Address	City	State	Zip Code	Telephone	Fax	Grades	Calendar	Local District	Board District	File Build Date
1295901	2959	Chandler Elementary	14030 Weddington St	Sherman Oaks	CA	91401	818-789-6173	818-995-7095	K- 5	1 Trk	NE	3-Scott M Schmerelson	2020-05-14
1298601	2986	Chapman Elementary	1947 Marine Ave	Gardena	CA	90249	310-324-2275	310-327-3898	K- 5	1 Trk	S	7-Dr Richard A Vladovic	2020-05-14
1298602	2434	Chapman Elementary DL Two-Way Im Mandarin	1947 Marine Ave	Gardena	CA	90249	310-324-2275	310-327-3898	K- 1	1 Trk	S	7-Dr Richard A Vladovic	2020-05-14
1300201	3002	Charnock Road Elementary	11133 Charnock Rd	Los Angeles	CA	90034	310-838-6110	310-838-2950	K- 5	1 Trk	W	1-Dr George J McKenna III	2020-05-14
1301401	3014	Chase Street Elementary	14041 Chase St	Panorama City	CA	91402	818-830-4440	818-892-8136	K- 5	1 Trk	NW	6-Kelly Gonez	2020-05-14
1858301	8583	Chatsworth Charter High School	10027 Lurline Ave	Chatsworth	CA	91311	818-678-3400	818-709-6952	9-12	1 Trk	NW	3-Scott M Schmerelson	2020-05-14
1302701	3027	Chatsworth Park Elementary UP/CD Magnet	22005 Devonshire St	Chatsworth	CA	91311	818-341-1371	818-882-3540	K- 5	1 Trk	NW	3-Scott M Schmerelson	2020-05-14
1764001	7640	Cesar Chavez Elementary School	5243 Oakland St	Los Angeles	CA	90032	323-276-1440	323-276-1232	K- 6	1 Trk	E	2-Monica Garcia	2020-05-14
1771501	7715	Cesar E Chavez Learning Academy - Arts/Theatre/Entertain Mag	1001 Arroyo Ave	San Fernando	CA	91340	818-837-6428	818-838-6725	9-12	1 Trk	NE	6-Kelly Gonez	2020-05-14
1771701	7717	Cesar E Chavez Learning Academy - Academy of Sci Exploration	1001 Arroyo Ave	San Fernando	CA	91340	818-838-3926	818-838-3945	9-12	1 Trk	NE	6-Kelly Gonez	2020-05-14
1771601	7716	Cesar E Chavez Learning Academy - Social Jst Humanitas Acad	1001 Arroyo Ave	San Fernando	CA	91340	818-838-3915	818-838-6759	9-12	1 Trk	NE	6-Kelly Gonez	2020-05-14
1890101	8901	Cesar E Chavez Learning Academy - Technology Preparatory Aca	1001 Arroyo Ave	San Fernando	CA	91340	818-838-3946	818-838-6819	9-12	1 Trk	NE	6-Kelly Gonez	2020-05-14
1304101	3041	Cheremoya Avenue Elementary	6017 Franklin Ave	Los Angeles	CA	90028	323-464-1722	323-463-2928	K- 6	1 Trk	W	4-Nick Melvoin	2020-05-14
1868801	8688	Cheviot Hills Continuation High	9200 Cattaraugus Ave	Los Angeles	CA	90034	310-838-8462	310-839-4051	9-12	1 Trk	W	1-Dr George J McKenna III	2020-05-14
1202001	2020	Chime Institute'S Schwarzenegger Community School	19722 Collier St	Woodland Hills	CA	91364	818-346-5100	818-346-5120	K- 8	Other	XR	4-Nick Melvoin	2020-05-14
1306801	3068	Cienega Elementary	2611 S Orange Dr	Los Angeles	CA	90016	323-939-1138	323-933-5316	K- 5	1 Trk	W	1-Dr George J McKenna III	2020-05-14
1306802	2290	Cienega Elementary DL Two-Way Im Spanish	2611 S Orange Dr	Los Angeles	CA	90019	323-939-1138	323-933-5316	K- 2	1 Trk	W	1-Dr George J McKenna III	2020-05-14
1308201	3082	Cimarron Avenue Elementary	11559 Cimarron Ave	Hawthorne	CA	90250	323-757-1226	323-756-1686	K- 5	1 Trk	W	1-Dr George J McKenna III	2020-05-14
1308202	2331	Cimarron Avenue Elementary STEAM Magnet	11559 Cimarron Ave	Hawthorne	CA	90250	323-757-1226	323-756-1686	2- 5	1 Trk	W	1-Dr George J McKenna III	2020-05-14
1226001	2260	Citizens of the World Silver Lake	110 N Coronado St	Los Angeles	CA	90026	323-462-2840	323-760-8934	K- 4	Other	XR	5-Jackie Goldberg	2020-05-14
1226201	2262	Citizens of the World Mar Vista	11561 Gateway Blvd	Los Angeles	CA	90064	424-248-0544	310-733-1857	K- 2	Other	XR	4-Nick Melvoin	2020-05-14
1216001	2160	Citizens of the World Hollywood	1316 N Bronson Ave	Los Angeles	CA	90028	323-464-4292	323-464-8292	K- 4	Other	XR	4-Nick Melvoin	2020-05-14
1227101	2271	City Language Immersion Charter	4001 Venice Blvd	Los Angeles	CA	90019	323-294-4937	323-294-4938	K- 2	Other	XR	1-Dr George J McKenna III	2020-05-14
1880101	8801	City of Angels Independent Studies	221 S Eastman Ave	Los Angeles	CA	90063	323-415-8350	323-261-0618	K-12	1 Trk	XS	2-Monica Garcia	2020-05-14
1309602	2787	City Terrace Elementary DL Two-Way Im Mandarin	4350 City Terrace Dr	Los Angeles	CA	90063	323-269-0581	323-267-9959	K- 5	1 TRK	E	5-Jackie Goldberg	2020-05-14
1309601	3096	City Terrace Elementary	4350 City Terrace Dr	Los Angeles	CA	90063	323-269-0581	323-267-9959	K- 5	1 Trk	E	5-Jackie Goldberg	2020-05-14
1859001	8590	Grover Cleveland Charter High School	8140 Vanalden Ave	Reseda	CA	91335	818-885-2300	818-727-0964	9-12	1 Trk	NW	3-Scott M Schmerelson	2020-05-14
1859002	8593	Grover Cleveland Charter High School Humanities Magnet	8140 Vanalden Ave	Reseda	CA	91335	818-885-2300	818-727-0964	9-12	1 Trk	NW	3-Scott M Schmerelson	2020-05-14
1859007	7541	Grover Cleveland Charter High School GMS Magnet	8140 Vanalden Ave	Reseda	CA	91335	818-885-2300	818-727-0964	9-12	1 Trk	NW	3-Scott M Schmerelson	2020-05-14
1311001	3110	Clifford Street Math & Technology Magnet	2150 Duane St	Los Angeles	CA	90039	323-663-0474	323-663-6822	K- 5	1 Trk	C	5-Jackie Goldberg	2020-05-14
1806201	8062	William Jefferson Clinton Middle School	3500 S Hill St	Los Angeles	CA	90007	323-235-7200	323-846-0054	6- 8	1 Trk	C	2-Monica Garcia	2020-05-14
1312301	3123	Clover Avenue Elementary	11020 Clover Ave	Los Angeles	CA	90034	310-479-7739	310-444-9744	K- 5	1 Trk	W	1-Dr George J McKenna III	2020-05-14
1824501	8245	Johnnie L Cochran Jr Middle School	4066 W Johnnie Cochran Vista	Los Angeles	CA	90019	323-730-4300	323-733-9106	6- 8	1 Trk	W	1-Dr George J McKenna III	2020-05-14
1634201	6342	Coeur D Alene Avenue Elementary	810 Coeur D Alene Ave	Venice	CA	90291	310-821-7813	310-823-4486	K- 5	1 Trk	W	4-Nick Melvoin	2020-05-14
1313701	3137	Cohasset Street Elementary	15810 Saticoy St	Lake Balboa	CA	91406	818-787-2113	818-782-3522	K- 5	1 Trk	NW	6-Kelly Gonez	2020-05-14
1313702	2788	Cohasset Street Elementary DL One-Way Im Spanish	15810 Saticoy St	Lake Balboa	CA	91406	818-787-2113	818-782-3522	K- 4	1 TRK	NW	6-Kelly Gonez	2020-05-14
1315102	4821	Coldwater Canyon DL Two-Way Im Spanish	6850 Coldwater Canyon Av	North Hollywood	CA	91605	818-765-6634	818-982-1387	K- K	1 Trk	NE	3-Scott M Schmerelson	2020-05-14
1315101	3151	Coldwater Canyon Elementary	6850 Coldwater Canyon Ave	North Hollywood	CA	91605	818-765-6634	818-982-1387	K- 5	1 Trk	NE	3-Scott M Schmerelson	2020-05-14
1316401	3164	Colfax Charter Elementary	11724 Addison St	North Hollywood	CA	91607	818-761-5115	818-985-6017	K- 5	1 Trk	NE	3-Scott M Schmerelson	2020-05-14
1317801	3178	Coliseum Street Elementary	4400 Coliseum St	Los Angeles	CA	90016	323-294-5244	323-292-9490	K- 5	1 Trk	W	1-Dr George J McKenna III	2020-05-14
1759401	7594	Collegiate Charter High School of Los Angeles	312 N Record Ave	Los Angeles	CA	90063	213-304-7077	213-304-7077	9- 9	OTHER	XR	2-Monica Garcia	2020-05-14
1743201	7432	Columbus Avenue Elementary	6700 Columbus Ave	Van Nuys	CA	91405	818-779-5440	818-779-7947	K- 5	1 Trk	NE	6-Kelly Gonez	2020-05-14
1810201	8102	Christopher Columbus Middle School	22250 Elkwood St	Canoga Park	CA	91304	818-702-1200	818-348-2894	6- 8	1 Trk	NW	3-Scott M Schmerelson	2020-05-14
1810202	8101	Christopher Columbus MS Medical/Math/Science Magnet	22250 Elkwood St	Canoga Park	CA	91304	818-702-1200	818-348-2894	6- 8	1 Trk	NW	3-Scott M Schmerelson	2020-05-14
1319202	2277	Commonwealth Avenue Elementary Gifted Arts/Tech Magnet	215 S Commonwealth Ave	Los Angeles	CA	90004	213-384-2546	213-386-3652	2- 5	1 Trk	C	2-Monica Garcia	2020-05-14
1319201	3192	Commonwealth Avenue Elementary	215 S Commonwealth Ave	Los Angeles	CA	90004	213-384-2546	213-386-3652	K- 5	1 Trk	C	2-Monica Garcia	2020-05-14
1274101	2741	Community Elementary Magnet Charter School	11301 Bellagio Rd	Los Angeles	CA	90049	310-476-2281	310-472-6391	K- 5	1 Trk	W	4-Nick Melvoin	2020-05-14
1320501	3205	Compton Avenue Elementary	1515 E 104th St	Los Angeles	CA	90002	323-564-5767	323-563-6311	K- 5	1 Trk	S	7-Dr Richard A Vladovic	2020-05-14
1820701	8207	Miguel Contreras Learning Complex - Acdemic Ldrshp Community	322 Lucas Ave	Los Angeles	CA	90017	213-240-3815	213-482-0232	9-12	1 Trk	C	2-Monica Garcia	2020-05-14
1851701	8517	Miguel Contreras Learning Complex - Business and Tourism	322 S Lucas Ave	Los Angeles	CA	90017	213-240-3840	213-240-3887	9-12	1 Trk	C	2-Monica Garcia	2020-05-14
1877401	8774	Miguel Contreras Learning Complex - LA Sch of Global Studies	322 S Lucas Ave	Los Angeles	CA	90017	213-240-3850	213-240-3875	9-12	1 Trk	C	2-Monica Garcia	2020-05-14
1852701	8527	Miguel Contreras Learning Complex - School of Social Justice	322 S Lucas Ave	Los Angeles	CA	90017	213-240-3896	213-482-0232	9-12	1 Trk	C	2-Monica Garcia	2020-05-14
1321901	3219	Corona Avenue Elementary	3825 Bell Ave	Bell	CA	90201	323-560-1323	323-560-8166	1- 5	1 Trk	E	5-Jackie Goldberg	2020-05-14
1759801	7598	Bert Corona Charter High	12513 Gain St	Pacoima	CA	91331	818-480-6810	818-834-8075	9-10	OTHER	XR	6-Kelly Gonez	2020-05-14
1805401	8054	Bert Corona Charter School	9400 Remick Ave	Pacoima	CA	91331	818-834-5805	818-834-8075	6- 8	Other	XR	6-Kelly Gonez	2020-05-14
1851601	8516	Ramon C Cortines School of Visual & Performing Arts	450 N Grand Ave	Los Angeles	CA	90012	213-217-8600	213-928-0933	9-12	1 Trk	C	2-Monica Garcia	2020-05-14
1501601	5016	Sara Coughlin Elementary School	11035 Borden Ave	Pacoima	CA	91331	818-686-6428	818-686-6509	K- 5	1 Trk	NE	6-Kelly Gonez	2020-05-14
1326001	3260	Cowan Avenue Elementary	7615 Cowan Ave	Los Angeles	CA	90045	310-645-1973	310-645-6273	K- 5	1 Trk	W	4-Nick Melvoin	2020-05-14
1326003	2291	Cowan Avenue Elementary DL World Lang Im Spanish	7615 Cowan Ave	Los Angeles	CA	90045	310-645-1973	310-645-6273	K- 2	1 Trk	W	4-Nick Melvoin	2020-05-14
1326002	7950	Cowan Avenue Elementary Gifted Int Humanities Magnet	7615 Cowan Ave	Los Angeles	CA	90045	310-645-1973	310-645-6273	1- 6	1 Trk	W	4-Nick Melvoin	2020-05-14
1865401	8654	CATCH Prep Charter High Inc	4120 11th Ave	Los Angeles	CA	90008	323-293-3917	323-778-7712	9-12	Other	XR	1-Dr George J McKenna III	2020-05-14
1859601	8596	Crenshaw Magnets: Science Tech Engineer Math & Medicine	5010 11th Ave	Los Angeles	CA	90043	323-290-7800	323-292-6712	9-12	1 Trk	W	1-Dr George J McKenna III	2020-05-14
1328801	3288	Crescent Heights Boulevard Elementary Lang Arts/Soc Jstc Mag	1661 S Crescent Hts Blvd	Los Angeles	CA	90035	323-931-2761	323-939-7560	K- 5	1 Trk	W	1-Dr George J McKenna III	2020-05-14
1330201	3302	Crestwood Street Elementary	1946 W Crestwood St	Rancho Palos Verdes	CA	90275	310-832-8130	310-832-7458	K- 5	1 Trk	S	7-Dr Richard A Vladovic	2020-05-14
1755001	7550	Crete Academy	6103 Crenshaw Blvd	Los Angeles	CA	90043	323-791-1600	877-496-2089	K- 6	Other	XR	1-Dr George J McKenna III	2020-05-14
1598301	5983	Crown Preparatory Academy	2055 W 24th St	Los Angeles	CA	90018	213-448-9747	310-410-2271	5- 8	Other	XR	1-Dr George J McKenna III	2020-05-14
1195202	1197	CTC - West	7850 Melrose Ave	Los Angeles	CA	90046	323-370-1223	323-651-5803	12-12	1 Trk	W	4-Nick Melvoin	2020-05-14
1810301	8103	Glenn Hammond Curtiss Middle School	1254 E Helmick St	Carson	CA	90746	310-661-4500	310-537-2115	6- 8	1 Trk	S	7-Dr Richard A Vladovic	2020-05-14
1810302	8105	Glenn Hammond Curtiss Middle School STEAM Magnet	1254 E Helmick St	Carson	CA	90746	310-661-4500	310-661-4576	6- 8	1 Trk	S	7-Dr Richard A Vladovic	2020-05-14
1332901	3329	Dahlia Heights Elementary	5063 Floristan Ave	Los Angeles	CA	90041	323-255-1419	323-344-9129	K- 6	1 Trk	C	5-Jackie Goldberg	2020-05-14
1810401	8104	Richard Henry Dana Middle School	1501 S Cabrillo Ave	San Pedro	CA	90731	310-241-1100	310-514-9925	6- 8	1 Trk	S	7-Dr Richard A Vladovic	2020-05-14
1810402	5214	Richard Henry Dana Middle School Sci Tech Eng Arts Math Mag	1501 S Cabrillo Ave	San Pedro	CA	90731	310-241-1100	310-514-9925	6- 8	1 Trk	S	7-Dr Richard A Vladovic	2020-05-14
1333501	3335	Danube Avenue Elementary	11220 Danube Ave	Granada Hills	CA	91344	818-366-6463	818-363-4047	K- 5	1 Trk	NW	3-Scott M Schmerelson	2020-05-14
1334001	3340	Darby Avenue Elementary	10818 Darby Ave	Porter Ranch	CA	91326	818-360-1824	818-832-9761	K- 5	1 Trk	NW	3-Scott M Schmerelson	2020-05-14
1335601	3356	Dayton Heights Elementary	607 N Westmoreland Ave	Los Angeles	CA	90004	323-661-3308	323-662-5278	K- 5	1 Trk	C	5-Jackie Goldberg	2020-05-14
1335602	2332	Dayton Heights Elementary Urban Env Science Magnet	607 N Westmoreland Ave	Los Angeles	CA	90004	323-661-3308	323-662-5278	3- 5	1 Trk	C	5-Jackie Goldberg	2020-05-14
1873801	8738	Downtown Business Magnet	1081 W Temple St	Los Angeles	CA	90012	213-481-0371	213-482-0792	9-12	1 Trk	C	2-Monica Garcia	2020-05-14
1882701	8827	Oscar de la Hoya Animo Charter High School	1114 S Lorena St	Los Angeles	CA	90023	323-780-1259	323-565-1610	9-12	Other	XR	2-Monica Garcia	2020-05-14
1230101	2301	George de la Torre Jr Elementary	500 N Island Ave	Wilmington	CA	90744	310-847-1400	310-834-9171	K- 6	1 Trk	S	7-Dr Richard A Vladovic	2020-05-14
1230102	2324	George De la Torre Jr Elementary STEAM Magnet	500 N Island Ave	Wilmington	CA	90744	310-847-1400	310-834-9171	1- 5	1 Trk	S	7-Dr Richard A Vladovic	2020-05-14
1337701	3377	Dearborn Elementary Charter Academy	9240 Wish Ave	Northridge	CA	91325	818-349-4381	818-886-2149	K- 5	1 Trk	NW	3-Scott M Schmerelson	2020-05-14
1338401	3384	Del Amo Elementary	21228 Water St	Carson	CA	90745	310-830-5351	310-830-6466	K- 5	1 Trk	S	7-Dr Richard A Vladovic	2020-05-14
1238601	2386	Frank Del Olmo Elementary	100 N New Hampshire Ave	Los Angeles	CA	90004	213-427-7200	213-487-0788	K- 5	1 Trk	C	2-Monica Garcia	2020-05-14
1339701	3397	Delevan Drive Elementary	4168 W Avenue 42	Los Angeles	CA	90065	323-255-0571	323-254-8368	K- 6	1 Trk	C	5-Jackie Goldberg	2020-05-14
1331501	3315	Christopher Dena Elementary	1314 Dacotah St	Los Angeles	CA	90023	323-269-9222	323-263-2371	K- 6	1 Trk	E	2-Monica Garcia	2020-05-14
1342501	3425	Denker Avenue Elementary	1620 W 162nd St	Gardena	CA	90247	310-327-9420	310-324-6949	K- 5	1 Trk	S	7-Dr Richard A Vladovic	2020-05-14
1342502	2790	Denker Avenue Elementary DL Two-Way Im Korean	1620 W 162nd St	Gardena	CA	90247	310-327-9420	310-324-6949	K- 5	1 TRK	S	7-Dr Richard A Vladovic	2020-05-14
1860501	8605	Discovery Charter Preparatory School #2	13570 Eldridge Ave	Sylmar	CA	91342	818-897-1187	818-897-1295	9-12	Other	XR	6-Kelly Gonez	2020-05-14
1343801	3438	Dixie Canyon Community Charter	4220 Dixie Canyon Ave	Sherman Oaks	CA	91423	818-784-6283	818-788-3340	K- 5	1 Trk	NE	3-Scott M Schmerelson	2020-05-14
1811001	8110	Rudecinda Sepulveda Dodson Middle School	28014 Montereina Dr	Rancho Palos Verdes	CA	90275	310-241-1900	310-832-4709	6- 8	1 Trk	S	7-Dr Richard A Vladovic	2020-05-14
1811002	8111	Rudecinda Sepulveda Dodson Middle School Gifted Magnet	28014 Montereina Dr	Rancho Palos Verdes	CA	90275	310-241-1919	310-832-4709	6- 8	1 Trk	S	7-Dr Richard A Vladovic	2020-05-14
1811003	5242	Rudecinda Sepulveda Dodson MS Visual/Performing Arts Magnet	28014 Montereina Dr	Rancho Palos Verdes	CA	90275	310-241-1900	310-832-4709	6- 8	1 Trk	S	7-Dr Richard A Vladovic	2020-05-14
1345201	3452	Dolores Street Elementary	22526 Dolores St	Carson	CA	90745	310-834-2565	310-830-6730	K- 5	1 Trk	S	7-Dr Richard A Vladovic	2020-05-14
1346601	3466	Dominguez Elementary	21250 Santa Fe Ave	Carson	CA	90810	310-835-7137	310-835-6071	K- 5	1 Trk	S	7-Dr Richard A Vladovic	2020-05-14
1346602	2410	Dominguez Elementary DL Two-Way Im Spanish	21250 Santa Fe Ave	Carson	CA	90810	310-835-7137	310-835-6071	K- 2	1 Trk	S	7-Dr Richard A Vladovic	2020-05-14
1347901	3479	Dorris Place Elementary	2225 Dorris Pl	Los Angeles	CA	90031	323-222-9185	323-222-3686	K- 6	1 Trk	C	5-Jackie Goldberg	2020-05-14
1860003	8603	Susan Miller Dorsey Senior High Law/Public Srv/Pol Srv Mag	3537 Farmdale Ave	Los Angeles	CA	90016	323-298-8400	323-298-8501	9-12	1 Trk	W	1-Dr George J McKenna III	2020-05-14
1860001	8600	Susan Miller Dorsey Senior High	3537 Farmdale Ave	Los Angeles	CA	90016	323-298-8400	323-298-8501	9-12	1 Trk	W	1-Dr George J McKenna III	2020-05-14
1860002	8601	Susan Miller Dorsey Senior High Science/Tech/Math Magnet	3537 Farmdale Ave	Los Angeles	CA	90016	323-298-8400	323-298-8501	9-12	1 Trk	W	1-Dr George J McKenna III	2020-05-14
1873803	8746	Downtown Computer Sci/Digital Media Arts/Eng Magnet	1081 W Temple St	Los Angeles	CA	90012	213-481-0371	213-482-0792	9-12	1 Trk	C	2-Monica Garcia	2020-05-14
1476501	4765	Downtown Value School	950 W Washington Blvd	Los Angeles	CA	90015	213-748-8868	213-742-6684	K- 8	Other	XR	2-Monica Garcia	2020-05-14
1811201	8112	Charles Drew Middle School	8511 Compton Ave	Los Angeles	CA	90001	323-826-1700	323-583-6030	7- 8	1 Trk	S	7-Dr Richard A Vladovic	2020-05-14
1811202	8109	Charles Drew Middle School Gifted Magnet	8511 Compton Ave	Los Angeles	CA	90001	323-826-1700	323-583-6030	7- 8	1 Trk	S	7-Dr Richard A Vladovic	2020-05-14
1756601	7566	Charles Drew MS University Pathways Public Service Academy	1415 Firestone Blvd	Los Angeles	CA	90001	323-277-1800	323-277-1810	9-11	1 Trk	S	7-Dr Richard A Vladovic	2020-05-14
1349301	3493	Dyer Street Elementary	14500 Dyer St	Sylmar	CA	91342	818-367-1932	818-364-1913	K- 5	1 Trk	NE	6-Kelly Gonez	2020-05-14
1766701	7667	Mervyn M Dymally Senior High	8800 S San Pedro St	Los Angeles	CA	90003	323-565-4600	323-750-1084	9-12	1 Trk	S	7-Dr Richard A Vladovic	2020-05-14
1766702	7536	Mervyn M Dymally SH Biomed Science/Research Magnet	8800 S San Pedro St	Los Angeles	CA	90003	323-565-4600	323-750-1084	9-12	1 Trk	S	7-Dr Richard A Vladovic	2020-05-14
1350701	3507	Eagle Rock Elementary	2057 Fair Park Ave	Los Angeles	CA	90041	323-254-6851	323-344-9720	K- 6	1 Trk	C	5-Jackie Goldberg	2020-05-14
1350702	3508	Eagle Rock Elementary Highly Gifted Magnet	2057 Fair Park Ave	Los Angeles	CA	90041	323-254-6851	323-344-9720	3- 6	1 Trk	C	5-Jackie Goldberg	2020-05-14
1861401	8614	Eagle Rock High School	1750 Yosemite Dr	Los Angeles	CA	90041	323-340-3500	323-255-3398	7-12	1 Trk	C	5-Jackie Goldberg	2020-05-14
1857801	8578	Eagle Tree Continuation High	22628 S Main St	Carson	CA	90745	310-549-0970	310-518-5746	9-12	1 Trk	S	7-Dr Richard A Vladovic	2020-05-14
1878801	8788	Amelia Earhart Continuation High School	5355 Colfax Ave	North Hollywood	CA	91601	818-769-4877	818-980-1794	9-12	1 Trk	NE	3-Scott M Schmerelson	2020-05-14
1871001	8710	Early College Academy - LA Trade Tech College	400 W Washington Blvd	Los Angeles	CA	90015	213-763-3685	213-763-5396	9-12	1 Trk	C	2-Monica Garcia	2020-05-14
1860701	8607	East Valley Senior High	5525 Vineland Ave	North Hollywood	CA	91601	818-753-4400	818-487-6922	9-12	1 Trk	NE	6-Kelly Gonez	2020-05-14
1352101	3521	Eastman Avenue Elementary	4112 E Olympic Blvd	Los Angeles	CA	90023	323-269-0456	323-269-3625	K- 5	1 Trk	E	2-Monica Garcia	2020-05-14
1352102	2791	Eastman Avenue Elementary DL One & Two-Way Im Spanish	4112 E Olympic Blvd	Los Angeles	CA	90023	323-269-0456	323-269-3625	K- 4	1 TRK	E	2-Monica Garcia	2020-05-14
1811301	8113	Thomas A Edison Middle School	6500 Hooper Ave	Los Angeles	CA	90001	323-826-2500	323-581-8389	6- 8	1 Trk	S	7-Dr Richard A Vladovic	2020-05-14
1755601	7556	Ednovate- Esperanza College Prep	319 N Humphreys Ave	Los Angeles	CA	90022	323-459-0325	323-457-0051	9- 9	Other	XR	2-Monica Garcia	2020-05-14
1759501	7595	Ednovate-East College Prep	350 S Figueroa St	Los Angeles	CA	90071	323-285-1441	323-285-1441	9- 9	OTHER	XR	2-Monica Garcia	2020-05-14
1767201	7672	Ednovate - USC Hybrid High College Prep	3939 S Vermont Ave	Los Angeles	CA	90037	213-929-1046	213-929-1047	9-10	Other	XR	2-Monica Garcia	2020-05-14
1755501	7555	Ednovate-Brio College Prep	700 Wilshire Blvd Ste 400	Los Angeles	CA	90017	323-446-2570	323-446-2571	9- 9	Other	XR	2-Monica Garcia	2020-05-14
1350703	4165	Eagle Rock Elementary Gifted Magnet	2057 Fair Park Ave	Los Angeles	CA	90041	323-254-6851	323-344-9720	2- 6	1 Trk	C	5-Jackie Goldberg	2020-05-14
1861402	8615	Eagle Rock High School Gifted Magnet	1750 Yosemite Dr	Los Angeles	CA	90041	323-340-3500	323-255-3398	7-12	1 Trk	C	5-Jackie Goldberg	2020-05-14
1877001	8770	Albert Einstein Continuation High School	15938 Tupper St	North Hills	CA	91343	818-892-4367	818-893-3423	9-12	1 Trk	NW	6-Kelly Gonez	2020-05-14
1861701	8617	El Camino Real Charter High School	5440 Valley Circle Blvd	Woodland Hills	CA	91367	818-595-7500	818-716-0810	9-12	Other	XR	3-Scott M Schmerelson	2020-05-14
1354101	3541	El Dorado Avenue Elementary	12749 El Dorado Ave	Sylmar	CA	91342	818-367-5816	818-362-6576	K- 5	1 Trk	NE	6-Kelly Gonez	2020-05-14
1354501	3545	El Oro Way Charter for Enriched Studies	12230 El Oro Way	Granada Hills	CA	91344	818-360-2288	818-360-3264	K- 5	1 Trk	NW	3-Scott M Schmerelson	2020-05-14
1356201	3562	El Sereno Elementary	3838 Rosemead Ave	Los Angeles	CA	90032	323-222-3389	323-226-0200	K- 6	1 Trk	E	5-Jackie Goldberg	2020-05-14
1811803	8120	El Sereno Middle School Gifted Magnet	2839 N Eastern Ave	Los Angeles	CA	90032	323-224-4700	323-223-9024	6- 8	1 Trk	E	2-Monica Garcia	2020-05-14
1811801	8118	El Sereno Middle School	2839 N Eastern Ave	Los Angeles	CA	90032	323-224-4700	323-223-9024	6- 8	1 Trk	E	2-Monica Garcia	2020-05-14
1811804	5253	El Sereno Middle School Env Sci/Humanitarian Magnet	2839 N Eastern Ave	Los Angeles	CA	90032	323-224-4700	323-223-9024	6- 8	1 Trk	E	2-Monica Garcia	2020-05-14
1811802	8119	El Sereno Middle School Science/Tech/Math Magnet	2839 N Eastern Ave	Los Angeles	CA	90032	323-224-4700	323-223-9024	6- 8	1 Trk	E	2-Monica Garcia	2020-05-14
1268001	2680	Elementary Community Day School	10001 Jumilla Ave	Chatsworth	CA	91311	213-239-5656	213-241-6360	K- 6	1 Trk	XS	3-Scott M Schmerelson	2020-05-14
1354801	3548	Elizabeth Learning Center	4811 Elizabeth St	Cudahy	CA	90201	323-271-3600	323-560-8412	K-12	1 Trk	E	5-Jackie Goldberg	2020-05-14
1354805	2792	Elizabeth LC DL Two-Way Im Arabic	4811 Elizabeth St	Cudahy	CA	90201	323-271-3600	323-560-8412	K- 3	1 TRK	E	5-Jackie Goldberg	2020-05-14
1893001	8930	Duke Ellington Continuation High	1541 W 110th St	Los Angeles	CA	90047	323-418-4130	323-754-1281	9-12	1 Trk	W	1-Dr George J McKenna III	2020-05-14
1357501	3575	Elysian Heights Elementary Arts Magnet	1562 Baxter St	Los Angeles	CA	90026	323-665-6315	323-661-5961	K- 5	1 Trk	C	5-Jackie Goldberg	2020-05-14
1358901	3589	Emelita Street Elementary	17931 Hatteras St	Encino	CA	91316	818-342-6353	818-774-9352	K- 5	1 Trk	NW	3-Scott M Schmerelson	2020-05-14
1812301	8123	Emerson Community Charter	1650 Selby Ave	Los Angeles	CA	90024	310-234-3100	310-474-6517	6- 8	1 Trk	W	4-Nick Melvoin	2020-05-14
1361001	3610	Enadia Way Technology Charter	22944 Enadia Way	West Hills	CA	91307	818-595-3900	818-716-7738	K- 5	1 Trk	NW	3-Scott M Schmerelson	2020-05-14
1361601	3616	Encino Charter Elementary	16941 Addison St	Encino	CA	91316	818-784-1762	818-995-7110	K- 5	1 Trk	NW	4-Nick Melvoin	2020-05-14
1516301	5163	Endeavor College Prep Charter School	1263 S Soto St	Los Angeles	CA	90023	323-800-4125	323-843-9502	K- 8	Other	XR	2-Monica Garcia	2020-05-14
1519001	5190	Equitas Academy 2	2723 W 8th St	Los Angeles	CA	90005	213-201-5940	213-652-4444	5- 5	Other	XR	2-Monica Garcia	2020-05-14
1228001	2280	Equitas Academy #3 Charter School	1050 Beacon Ave	Los Angeles	CA	90015	213-201-5940	213-652-4444	K- K	OTHER	XR	2-Monica Garcia	2020-05-14
1755101	7551	Equitas Academy 4	631 S Commonwealth Ave	Los Angeles	CA	90005	213-271-5454	213-652-4444	5- 5	Other	XR	4-Nick Melvoin	2020-05-14
1526501	5265	Equitas Academy 5	1050 Beacon Ave	Los Angeles	CA	90015	213-204-0344	201-365-2444	K- K	Other	XR	2-Monica Garcia	2020-05-14
1215401	2154	Equitas Academy Charter School	1700 W Pico Blvd	Los Angeles	CA	90015	213-201-0440	213-652-4444	K- 5	Other	XR	2-Monica Garcia	2020-05-14
1363001	3630	Erwin Elementary	13400 Erwin St	Van Nuys	CA	91401	818-988-6292	818-785-2674	K- 5	1 Trk	NE	3-Scott M Schmerelson	2020-05-14
1687301	6873	Jaime Escalante Elementary School	4443 Live Oak St	Cudahy	CA	90201	323-890-2340	323-771-2427	K- 6	1 Trk	E	5-Jackie Goldberg	2020-05-14
